recipe_name,recipe_CompletePicture_url,recipeProcess_pictures_url,recipe_process,recipe_stuff,recipe_stuff_count,recipe_StuffCountUnit
새우 두부 계란찜,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00028_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_3.png']","['1. 손질된 새우를 끓는 물에 데쳐 건진다.a', '2. 연두부, 달걀, 생크림, 설탕에 녹인 무염버터를 믹서에 넣고 간 뒤 새우(1)를 함께 섞어 그릇에 담는다.b', '3. 시금치를 잘게 다져 혼합물 그릇(2)에 뿌리고 찜기에 넣고 중간 불에서 10분 정도 찐다.c']","['새우두부계란찜연두부', '칵테일새우', '달걀', '생크림', '설탕', '무염버터', '고명시금치']","['75', '20', '30', '13', '5', '5', '10']","['g', 'g', 'g', 'g', 'g', 'g', 'g']"
부추 콩가루 찜,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00029_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054820_1675673300714.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054834_1675673314720.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054908_1675673348152.jpg']","['1. 부추는 깨끗이 씻어 물기를 제거하고, 5cm 길이로 썰고 부추에 날콩가루를 넣고 고루 섞이도록 버무린다.', '2. 찜기에 면보를 깔고 부추를 넣은 후 김이 오르게 쪄서 파랗게 익힌다.', '3. 저염간장에 다진 대파, 다진 마늘, 고춧가루, 요리당 , 참기름, 참깨를 섞어 양념장을 만들고 찐 부추는 그릇에 담아낸다.']","['조선부추', '날콩가루', '저염간장', '다진 대파', '다진 마늘', '고춧가루', '요리당', '참기름']","['50', '7', '3', '5', '2', '2', '2', '2']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
방울토마토 소박이,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00031_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_4.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_5.png']","['1. 물기를 빼고 2cm 정도의 크기로 썰은 부추와 양파를 양념장에 섞어 양념속을 만든다.', '2. 깨끗이 씻은 방울토마토는 꼭지를 떼고 윗부분에 칼로 십자모양으로 칼집을 낸다.', '3. 칼집을 낸 방울토마토에 양념속을 사이사이에 넣어 버무린다.']","['방울토마토', '양파', '부추', '고춧가루', '멸치액젓', '다진 마늘', '매실액', '설탕', '물']","['150', '10', '10', '4', '3', '25', '2', '2', '2']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
순두부 사과 소스 오이무침,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00032_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_3.png']","['1. 사과, 순두부를 믹서에 넣고 곱게 갈아 소스를 만든다.', '2. 오이는 소금으로 문질러 씻어 반을 갈라 씨를 제거하고 어슷썰기를 한다.', '3. 썰어 놓은 오이에 순두부사과 소스를 넣고 버무린 후 다진 땅콩을 뿌려 마무리 한다.']","['오이', '다진 땅콩', '순두부', '사과']","['70', '10', '40', '50']","['g', 'g', 'g', 'g']"
사과 새우 북엇국,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00033_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_3.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_5.png']","['2. 북어채를 잘게 손으로 찢어 찬물에 헹구어 준비한 후 양파, 표고버섯, 사과는 채 썰고 새우는 등쪽의 두세 마디에 꼬챙이를 넣어 내장을 뺀 후 헹군다.', '3. 찬물에 북어채, 새우, 표고버섯, 양파를 넣고 20분 정도 끓인 후 사과를 넣어 북어의 씁쓸한 맛을 없앤다.', '5. 그릇에 담아낸다.']","['북엇국북어채', '새우', '사과', '양파', '표고버섯', '물']","['25', '10', '30', '40', '20', '300']","['g', 'g', 'g', 'g', 'g', 'g']"
저염 된장으로 맛을 낸 황태해장국,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00036_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_3.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_4.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_5.png']","['3. 황태는 손질하여 물에 헹궈 건져 놓고 콩나물은 다듬어 씻고 청양고추는 어슷썰기 한다.', '4. 냄비에 물을 붓고 황태와 무를 넣고 끓인 후 육수에서 물을 건져내고 저염 된장을 푼다.', '5. 콩나물, 다진 마늘, 청양고추를 넣고 뚜껑을 덮어 김이 나게 끓\n여준다.']","['콩나물', '무', '저염된장', '물', '청양고추', '다진 마늘']","['30', '30', '10', '300', '5', '2']","['g', 'g', 'g', 'g', 'g', 'g']"
된장국,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00037_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_4.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_6.png']","['1. 감자, 양파는 얇게 썰고 애느타리 버섯은 썰어 달궈진 팬에 굽는다.', '2. 냄비에 물을 붓고 된장을 푼 뒤 감자, 양파, 두부를 넣어 재료가 투명해지게 끓인 후 된장국의 재료를 건져서 믹서에 넣어 갈고 된장국에 넣어 한번 더 끓인다.', '3. 구운 애느타리버섯과 대파를 국에 넣어 끓인 후 그릇에 담는다.']","['된장국두부', '애느타리버섯', '감자', '양파', '대파', '된장', '물']","['20', '20', '10', '10', '10', '5', '300']","['g', 'g', 'g', 'g', 'g', 'g', 'g']"
표고버섯 청경채국,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00038_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_4.png']","['1. 찬물에 표고버섯,머리와 내장을 제거한 멸치,\n다시마, 양파를 넣어 중간 불에서 10분 정도\n끓여 멸치육수를 만든다.', '2. 육수의 표고버섯 기둥, 멸치, 다시마, 양파를 건진 후 표고버섯은 편으로 썰고 청경채는 4cm 크기로 썬다.', '3. 끓는 육수에 준비한 표고버섯과 청경채를 넣고 국간장으로 간을 한 후 마늘을 넣어 한소끔 끓인다.']","['국물용 멸치', '다시마', '양파', '국간장', '물', '청경채', '표고버섯', '다진 마늘']","['5', '1', '10', '5', '300', '20', '20', '2']","['g', '개', 'g', 'g', 'g', 'g', 'g', 'g']"
치커리샐러드와 올리브 마늘 소스,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00095_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00095_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00095_3.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00095_4.png']","['1. 올리브유, 식초, 설탕, 다진 마늘을 섞어 거품기로 충분히 저어주어 올리브마늘 드레싱을 만든다.', '2. 치커리는 싱싱하게 찬물에 담갔다가 물기를 뺀 후 한입 크기로 자르고, 적양배추, 양파, 당근은 곱게채를 썬다.', '3. 접시에 준비한 치커리, 적양배추, 양파, 당근을 담고 올리브마늘 드레싱을 뿌린다.']","['치커리', '적양배추', '양파', '당근', '올리브유', '식초', '설탕', '마늘']","['30', '15', '10', '5', '10', '5', '5', '5']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
스트로베리 샐러드,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00087_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00087_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00087_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00087_4.png']","['1. 찬물이 담긴 냄비에 식초, 소금을 넣고 메추리알을 삶는다. 물이 끓어오르면 5분 정도 더 삶아 찬물에 헹군 후 껍질을 벗기고 반으로 자른다.', '2. 딸기를 흐르는 물에 가볍게 씻어 꼭지를 제거한 후 물기를 빼고 반으로 자른다.', '3. 양상추는 찬물에 담갔다가 물기를 빼고 한입 크기로 찢은 후 접시에 양상추, 딸기, 블루베리, 메추리알을 담고 플레인요거트를 끼얹는다.']","['스트로베리 샐러드딸기', '플레인요거트', '양상추', '메추리알', '블루베리']","['70', '85', '70', '30', '15']","['g', 'g', 'g', 'g', 'g']"
